'Project': 'Subsurface warming of the West Antarctic continental shelf linked to El Niño-Southern Oscillation'
'Author': 'Maurice F. Huguenin',
'Created': '2023-06-15', 
'Mail': 'm.huguenin-virchaux@unsw.edu.au', 
'Funding': 'UNSW (Program code 1476), ARC ACEAS (ARC Grant No. SR200100008), ARC CLEX (ARC Grant No. CE170100023)'
N34_index_degC	SLP_anoms_hPa
1.6049787	1.1785156052344987
1.4789317	1.0874012878689914
1.0845289	0.9430328158800724
0.5506432	0.7400970396481368
0.58849066	0.4821299415772723
0.317006	0.18344072474330178
0.28827992	-0.13078142354187539
0.42750221	-0.42636092512758567
-0.1640382	-0.6645469172494387
0.155761	-0.8087543269544482
0.08997733	-0.8317741945767295
0.2843158	-0.7209603164863972
0.4057308	-0.48017134496754976
0.50022435	-0.12902266212189356
0.085161135	0.2993768823247542
0.1838056	0.7616827400209095
-0.021254545	1.2086826147715515
-0.21624304	1.59079475007516
-0.39612547	1.8643887959126673
-0.30610707	1.9979825277737038
-0.4595011	1.9763255341132668
-0.14708835	1.800619311475319
-0.272411	1.4854412712119933
-0.19311439	1.0548480714756503
-0.23906998	0.539505627853193
-0.3785082	-0.025159045533983862
-0.042410284	-0.6006880033097373
0.13054895	-1.1478211599115715
0.0732016	-1.6294457431664002
-0.046982054	-2.0143307196654665
-0.13719672	-2.2810251853618264
0.12333657	-2.4204076063453153
-0.10867194	-2.4358380621188824
-0.3932268	-2.3413129646973267
-0.29805773	-2.158484012246083
-0.30061	-1.912938102702812
-0.17464747	-1.630218865172089
-0.062628925	-1.332589507449716
-0.22134782	-1.0374262226728654
-0.087356724	-0.7573007421744511
-0.10258165	-0.5009140679870547
0.19043769	-0.27379590599720083
-0.18771267	-0.0783207892713355
-0.2942237	0.08653760621986414
-0.7256628	0.22492209360101792
-0.66444826	0.3427712843089444
-0.2937896	0.44569568814540667
-0.1358694	0.5369782381795755
-0.5387586	0.6167320524750848
-0.343941	0.6826742960784962
-0.26281232	0.732129138153006
-0.50212705	0.7642300135594878
-0.36301425	0.7810724537363254
-0.079629496	0.7870709943250148
-0.19369611	0.7870784789410606
-0.21763684	0.7847083904654162
-0.5000153	0.7816584957734116
-0.41716224	0.7778101662043068
-0.55085737	0.7717873802678725
-0.85962665	0.7619321374176158
-0.53186613	0.7476212311413951
-0.29972637	0.7306996609123151
0.0031997617	0.7165844685059316
-0.04169349	0.7142612909484896
0.058158185	0.7343800637587005
0.019076193	0.7855467429590994
0.7883245	0.8704520976860435
0.75060725	0.9842038660448548
0.87340873	1.116094283651185
0.69349205	1.253940470497902
0.9044405	1.3887421535672615
0.8774291	1.517442535209906
0.9419888	1.642872865145897
0.5426456	1.7715627550927702
-0.06727096	1.910557606992036
-0.61223435	2.0637553916117257
-0.75640947	2.228385951198334
-0.8745173	2.3932822352791825
-0.80960304	2.54034184363422
-0.7946744	2.648459025801571
-1.095086	2.6977574076991844
-1.0114043	2.6729919271450204
-1.2841693	2.566528504408039
-1.0864427	2.3807869195731737
-0.5540159	2.1287261065891876
-0.26478952	1.8316385913444728
-0.25237018	1.5155806945553614
0.08158827	1.2083525836475049
0.25478658	0.9376319246497711
0.46772966	0.7295787000843933
0.8294409	0.6068671888999527
