'Project': 'Subsurface warming of the West Antarctic continental shelf linked to El Niño-Southern Oscillation'
'Author': 'Maurice F. Huguenin',
'Created': '2023-06-15',
'Mail': 'm.huguenin-virchaux@unsw.edu.au',
'Funding': 'UNSW (Program code 1476), ARC ACEAS (ARC Grant No. SR200100008), ARC CLEX (ARC Grant No. CE170100023)'
Composite_N34_index	Simulated_N34_index	Sea_ice_volume_anoms
-0.29865026473999023	0.001079171	0.7578125
-0.04103836417198181	0.046728004	-0.08683777
0.11340141296386719	0.16048636	0.12588501
0.39616695046424866	0.31344622	-11.907288
0.5804020762443542	0.4504512	15.672363
0.7817209959030151	0.6460744	50.74585
1.0950912237167358	0.88217133	50.61621
1.3477606773376465	1.1099604	23.04712
1.432357907295227	1.2517581	-72.43945
1.7033028602600098	1.4203827	-67.007324
1.9015789031982422	1.5006161	-123.80444
1.9084467887878418	1.5830945	-338.56226
1.658420205116272	1.5620123	-46.9032
1.3447701930999756	1.2774965	91.438034
0.9012113809585571	0.9005758	99.31494
0.43641817569732666	0.5872888	49.771667
-0.006514707580208778	0.22931464	12.854736
-0.8212406039237976	-0.3652963	-48.596436
-1.1531140804290771	-1.0101837	-108.10596
-1.2385609149932861	-1.3960564	-129.90186
-1.338322639465332	-1.3136941	-110.01001
-1.3696026802062988	-1.326145	-170.42285
-1.6355199813842773	-1.4612345	-219.88477
-1.9020357131958008	-1.6181352	-67.76245
-1.7995047569274902	-1.6355644	367.92065
-1.4527771472930908	-1.4864691	259.78235
-1.0014022588729858	-1.2381746	130.971
-0.8791731595993042	-1.048749	203.78497
-0.7637453079223633	-0.8695089	106.170654
-0.6011215448379517	-0.6785211	-55.4209
-0.6748223900794983	-0.49528596	-170.36377
-0.694873571395874	-0.40248203	-202.8396
-0.6874100565910339	-0.42701167	-171.86963
-0.8296248912811279	-0.46327978	-199.92944
-0.979910135269165	-0.53857815	-224.5564
-0.9623143076896667	-0.63770425	-108.302246
0.007309005130082369	-0.50625604	117.306335
-0.010207525454461575	-0.2537976	37.544327
-0.02444961480796337	-0.092634946	-3.354065
-0.12906131148338318	-0.020723283	20.458618
-0.29898861050605774	0.013145292	23.759155
-0.2813703417778015	0.06324415	6.0804443
