'Project': 'Subsurface warming of the West Antarctic continental shelf linked to El Niño-Southern Oscillation'
'Author': 'Maurice F. Huguenin',
'Created': '2023-06-15',
'Mail': 'm.huguenin-virchaux@unsw.edu.au',
'Funding': 'UNSW (Program code 1476), ARC ACEAS (ARC Grant No. SR200100008), ARC CLEX (ARC Grant No. CE170100023)'
Composite_N34_index	Simulated_N34_index	Sea_ice_volume_anoms
-0.11917656660079956	-0.015503637	2.0292358
-0.07738626003265381	0.008656371	0.33283997
0.0369766429066658	0.11320303	-0.18136597
0.17729027569293976	0.2937637	-13.80127
0.44256114959716797	0.5068934	-19.907959
0.7469592094421387	0.7914429	-18.700317
0.9188507795333862	1.1868714	-21.017334
1.325627088546753	1.6654962	-33.041504
1.5947253704071045	2.1219335	-133.51318
1.9916465282440186	2.5488334	-179.1377
2.236605405807495	2.8263593	-245.09058
2.517529010772705	2.8896763	-422.26
2.32212233543396	2.859902	-76.40088
2.1305689811706543	2.8544438	92.907425
1.6632153987884521	2.5825007	98.583405
1.0272783041000366	2.07365	24.813477
0.6992673873901367	1.5014707	-35.61743
0.3430992066860199	0.7041169	-70.93176
-0.42713499069213867	-0.30231425	-96.859375
-0.6650791168212891	-1.3148363	-55.25537
-0.826675534248352	-1.731268	15.550049
-0.9137499928474426	-1.8628663	21.10205
-1.196821689605713	-2.287973	-15.86792
-1.190698504447937	-2.3572602	89.18872
0.007309005130082369	-1.871701	240.08228
-0.010207525454461575	-1.2813097	91.25552
-0.02444961480796337	-0.8630355	22.93901
-0.12906131148338318	-0.55368614	49.077698
-0.29898861050605774	-0.43717963	62.038208
-0.2813703417778015	-0.39236164	42.739624
